CUI	UMLS_PREF	INCORRECT
C0700205	function axis	functioning
C0243076	antagonists	antagonists
C1280227	entire ligament of foot	foot ligaments
C1278901	entire ethmoid sinus	ethmoid sinus
C1153433	calcium channel activity	calcium channel
C0006104	brain	bras
C0161516	poisoning by antithyroid agents	antithyroid drugs
C0851314	antithyroid agents causing adverse effects in therapeutic use	antithyroid drugs
C0001688	adverse effects	adverse effects
C0869462	encounter due to terminal care	terminal care
C1267112	entire syndesmosis	syndesmosis
C1269055	entire sternoclavicular joint	sternoclavicular joint
C1305055	entire sartorius muscle	sartorius
C0220905	regulatory	regulations
C1305799	entire piriform recess	pyriform sinus
C0309872	prevent (product)	preventing
C0309872	prevent (product)	prevent
C0553694	oropharyngeal disorders	oropharyngeal
C1281094	entire olfactory bulb	olfactory bulb
C1280090	entire limb	limb
C1280215	entire ligamentum flavum	ligamentum flavum
C0677510	roman numeral IV	ivs
C0021516	nerve supply	innervation
C1280084	entire inguinal region	inguinal region
C0497022	toxic effect of hydrogen cyanide	hydrogen cyanide
C0728866	drug effects	drugs effects
C0153435	malignant neoplasm of descending colon	descending colon
C0496863	benign neoplasm of descending colon	descending colon
C1281272	entire aqueous humor	aqueous humor
C1148576	anti-toxin activity	antitoxin
C0033452	properdin	p
C0202178	phosphorus measurement	p
C0439115	upper case pea	p
C0439140	lower case pea	p
C0723815	travel sickness brand of dimenhydrinate	travel sickness
C0224233	entire subscapularis	subscapularis
C1268976	entire submandibular gland	submaxillary gland
C0446582	entire tarsal canal (body structure)	sinus tarsi
C0444573	entire sacral spine (body structure)	sacral spine
C1269890	entire right atrium	right atrium
C0427509	pyruvate kinase activity	pyruvate kinase
C1279010	entire skin of hand	hands skin
C1150055	alpha-glucosidase activity	maltase
C0277785	functional disorder	malfunctioning
C1280690	entire male urethra	male urethra
C1305037	entire levator ani muscle	levator ani
C1321506	entire anterior descending branch of left coronary artery	left anterior descending artery
C0243161	criteria	criteria
C1305753	entire hypoglossal nerve	hypoglossal nerve
C0521125	preposition for	for
C1108678	death rate aspects	death rate
C0220815	curriculum aspects	curriculum
C1269580	entire caudate nucleus	caudate nucleus
C1151895	transferase activity	transferase
C1281571	entire thoracic aorta	thoracic aorta
C0036536	process of secretion	secretion
C1280202	entire eye	globe
C0332584	blue color (finding)	blues
C0013217	pharmacotherapeutic	pharmacotherapy
C0481196	adverse effects caused by therapeutic use of mineralocorticoids	mineralocorticoids
C1283925	entire larynx, trachea, bronchi and lungs, cs	lower respiratory tract
C1288949	entire left hand	left handed
C1281670	entire gonad	gonad
C0376315	manufactured form	form
C1150252	chymotrypsin activity	chymotrypsin
C0153613	malignant neoplasm of bladder neck	bladder neck
C1305062	entire biceps femoris muscle	biceps femoris
C0997135	alocasia macrorrhizos	ape
C0857485	antistreptolysin measurement	antistreptolysin
C0220784	anatomic	anatomic
C0346331	malignant neoplasm of acoustic nerve	acoustic nerve
C1269612	entire upper arm	upper arm
C1153543	soluble nsf attachment protein activity	snap
C1177045	snap brand of resin	snap
C1150553	pka activity	pka
C1279155	entire iliac fossa	iliac fossa
C1279010	entire skin of hand	hand skin
C0031843	physiological aspects	functions
C0700205	function axis	functions
C0013622	educational	educational
C0011155	deficiency	deficiencies
C0220807	chemical structure	chemical structure
C1278936	entire cerebral artery	cerebral artery
C1278885	entire canthus	canthus
C1305383	entire broad ligament	broad ligament
C0260591	encounter due to antenatal screening	antenatal screening
C1280632	entire trunk	trunk
C0205450	four (qualifier value)	four
C0008903	taxonomic	taxonomy
C0220922	systematic	systematic
C1283788	entire spinal nerve	spinal nerve
C0326040	ani (organism)	ani
C1254211	ilex paraguayensis homeopathic preparation	mate
C1280924	entire lingual tonsil	lingual tonsils
C1149327	ldl receptor activity	ldl receptor
C0220865	kinetic characteristics	kinetics
C1149484	follicle-stimulating hormone activity	follicle-stimulating hormone
C0728866	drug effects	drug effects
C0885504	lac vaccinum, cow milk, homeopathic preparation	cow milk
C1149382	chemokine activity	chemokine
C1150129	calpain activity	calpain
C0392912	entire body system (body structure)	body system
C0523509	apolipoprotein b assay	apolipoprotein b
C0201835	adrenocorticotropic hormone measurement	adrenocorticotropic hormone
C1280618	entire umbilical artery	umbilical artery
C0243163	supply aspects	supply
C1278868	entire superficial peroneal nerve	superficial peroneal nerve
C1269076	entire subtalar joint	subtalar joint
C1280695	entire stapes	stapes
C1151688	pyruvate dehydrogenase activity	pyruvate dehydrogenase
C1281066	entire papillary muscle	papillary muscle
C1279055	entire occipital bone	occipital bone
C1268256	entire left upper arm	arm left
C1280896	entire anterior naris	naris
C1281971	entire left temporal lobe	left temporal lobe
C0243118	lawsuits	lawsuits
C1268982	entire lateral ventricle	lateral ventricle
C1279050	entire inguinal lymph node	inguinal lymph node
C0220828	fee characteristics	fees
C0015392	eye	eye structure
C0719635	dos	dos
C0011849	diabetes mellitus	DMS
C1281065	entire diencephalon	diencephalon
C0448320	entire cricopharyngeal part of inferior constrictor pharyngeus muscle (body structure)	cricopharyngeus
C1305917	entire common carotid artery	common carotid artery
C0079107	chemical aspects	chemistries
C1289620	entire centrum semiovale	centrum semiovale
C1150044	cellulase activity	cellulase
C1304996	entire brachioradialis muscle	brachioradialis
C0448435	entire muscle of upper arm (body structure)	arm muscle
C0027051	myocardial infarction	amy
C1321539	entire vastus lateralis muscle	vastus lateralis
C1282726	entire red bone marrow	red bone marrow
C0205469	pathological aspects	pathologic
C0220885	organizational	organizations
C0700573	encounter due to normal pregnancy	normal pregnancy
C1289445	entire locus ceruleus	locus ceruleus
C1269582	entire lentiform nucleus	lentiform nucleus
C1305255	entire mastoid cell	air cells mastoid
C0039070	syncope	falling out
C1151286	beta-d-glucose oxidase activity	glucose oxidase
C1280347	entire fornix of vagina	fornix
C1152937	exotoxin activity	exotoxin
C1272751	does (qualifier value)	does
C1299584	able to and does (qualifier value)	does
C0220818	congenital deformities	deformities
C1280135	entire cystic artery	cystic artery
C1269581	entire corpus striatum	corpus striatum
C0220807	chemical structure	chemical structures
C0939867	piper nigrum, black pepper, homeopathic preparation	black pepper
C1278844	entire axillary nerve	axillary nerve
C0678219	adjustment - classification term	adjustment
C1282853	entire venous sinus	venous sinus
C1280153	entire uterine artery	uterine artery
C0332155	did not receive therapy or drug for	treating
C1306478	entire trapezial bone	trapezium
C1305305	entire tooth root	tooth root
C1305026	entire serratus anterior muscle	serratus anterior
C0226042	entire right coronary artery	right coronary artery
C1150572	protein kinase c activity	protein kinase c
C1281317	entire popliteal vein	popliteal vein
C1269060	entire odontoid process of axis	odontoid process
C0036525	metastatic to	mts
C0745732	list	listing
C0205462	histologic	histologic
C1283794	entire genitourinary tract	genitourinary tract
C1269548	entire external ear	external ear
C1150617	epidermal growth factor receptor activity	epidermal growth factor receptor
C1152939	enterotoxin activity	enterotoxin
C0013557	economic	economic
C1152938	cytotoxin activity	cytotoxin
C0589445	need for barrier nursing	barrier nursing
C0521421	entire ear	aural
C1305625	entire anal gland	anal gland
C1305379	entire amnion	amniotic membrane
C0376691	programs [publication type]	program
C0153406	malignant neoplasm of waldeyer's ring	waldeyer's ring
C0030193	pain	types of pain
C1278877	entire suprascapular nerve	suprascapular nerve
C1269590	entire semicircular canal	semicircular canal
C0960756	factor A	factors
C0260932	encounter due to screening for obesity	screening for obesity
C1280317	entire porta hepatis	porta hepatis
C1150269	plasminogen activator activity	plasminogen activator
C1150572	protein kinase c activity	pkc
C1321504	entire pisiform bone of hand (body structure)	pisiform
C1283892	entire nasal passage (body structure)	nasal passage
C0025664	methodology	methods
C1152609	lysin activity	lysin
C0220872	legal procedural aspects	litigation
C0002921	local anesthesia	las
C1281279	entire lacrimal duct	lacrimal duct
C1150623	insulin receptor activity	insulin receptor
C1153124	glucose transporter activity	glucose transporter
C1280973	entire genitourinary system	genitourinary system
C0277785	functional disorder	functional disorder
C0220810	congenital defects	dysmorphism
C1305624	entire descending aorta	descending aorta
C1305727	entire circumflex branch of left coronary artery	circumflex artery
C0161717	toxic effect of chlorine gas	chlorine gas
C0007783	entire cerebral hemisphere	cerebral hemisphere
C0243127	biochemical turnover	turnover
C0000769	teratologic	anomalies
C1152613	bacteriocin activity	bacteriocin
C1149793	arginase activity	arginase
C1269085	entire ligament of ankle joint	ankle ligament
C0243091	cellular morphology	cell morphology
C0042306	vanadium	v
C0700631	encounter due to occupational therapy and vocational rehabilitation	vocational rehabilitation
C1321540	entire vastus medialis muscle	vastus medialis
C1283926	entire tracheobronchial tree	tracheobronchial tree
C1280209	entire joint of thumb	thumb joint
C1269050	entire thoracic vertebra	thoracic vertebra
C0038894	surgery specialty	surgerys
C0038895	surgical aspects	surgerys
C1282851	entire superficial vein	superficial veins
C1278873	entire stellate ganglion	stellate ganglion
C1281038	entire sigmoid sinus	sigmoid sinus
C1283912	entire digit	digit
C1152411	rna-directed dna polymerase activity	reverse transcriptase
C0728859	need for rabies vaccination	rabies vaccination
C1305035	entire quadratus lumborum muscle	quadratus lumborum
C0275148	poisoning of animal by plant (disorder)	plant poisoning
C1280310	entire occipital lymph node	occipital lymph node
C0028678	nursing therapy	nurs
C1268256	entire left upper arm	left arm
C1305255	entire mastoid cell	mastoid air cells
C0038895	surgical aspects	invasive procedures
C0021632	instrumentation	instrumentation
C1280839	entire incus	incus
C0038561	submersion	immersion
C0871208	rating	ratings
C1305050	entire gluteus medius muscle	gluteus medius
C1278832	entire fourth ventricle	fourth ventricle
C1282749	entire flexor tendon	flexor tendons
C1305067	entire extensor digitorum longus muscle of foot	extensor digitorum longus
C1305743	entire erector spinae muscle	erector spinae
C1281674	entire ductus venosus	ductus venosus
C1278865	entire common peroneal nerve	common peroneal nerve
C1281984	entire cerebellar tonsil	cerebellar tonsil
C1305081	entire anterior fontanel of skull	anterior fontanelle
C0201835	adrenocorticotropic hormone measurement	adrenocorticotropin
C1149478	adrenocorticotropin activity	adrenocorticotropin
C1151015	adenylate cyclase activity	adenylate cyclase
C1280346	entire vaginal vault	vaginal vault
C1279179	entire trochanteric bursa	trochanteric bursa
C1281294	entire trabecular meshwork	trabecular meshwork
C0243122	binding aspects	binding
C0481132	adverse effects caused by therapeutic use of thrombolytic drugs	thrombolytic drugs
C0876942	sf brand of topical fluoride	sf
C1152740	5-ht receptor activity	serotonin receptor
C1281306	entire retinal vein	retinal vein
C1305751	entire reticular formation	reticular formation
C1283878	entire renal tubule	renal tubules
C1305757	entire medulla of kidney	renal medulla
C0220885	organizational	organization
C0885623	nux moschata, homeopathic preparation	nutmeg
C1282882	entire myotome	myotomes
C0543482	morphological	morphological
C1281590	entire head	headings
C0243070	aspects of congenital malformations	malformations
C1279455	entire lung parenchyma	lung parenchyma
C1280367	entire lobe of lung	lobes lung
C1281955	entire left frontal lobe	left frontal lobe
C0439204	inches	ins
C0439117	upper case are	r
C0439142	lower case are	r
C0448472	entire posterior muscle of thigh	hamstring muscles
C1305058	entire gracilis muscle	gracilis
C1151528	glutathione peroxidase activity	glutathione peroxidase
C1148668	gaba receptor activity	gaba receptor
C0243095	findings	finding
C1283889	entire filum terminale	filum terminale
C0013217	pharmacotherapeutic	drug therapy
C1289266	entire transplanted cornea	cornea transplants
C1278637	entire cervical spinal canal	cervical spinal canal
C1283837	entire carpus	carpus
C0025664	methodology	techniques
C0449851	techniques	techniques
C1282826	entire arteriole	arteriole
C0243112	appliances	appliance
C0699824	encounter due to specified procedures and aftercare	aftercare
C1281512	entire abortus	abortus
C1282819	entire valve of vein	valve veins
C0153386	malignant neoplasm of vallecula	vallecula
C1280193	entire fetal umbilical vein	umbilical vein
C1150064	sucrase activity	sucrase
C1304959	entire sternocleidomastoid muscle	sternomastoid
C0446582	entire tarsal canal (body structure)	sinus tarsal
C0243089	sequels	sequels
C1279156	entire sacral region	sacral region
C1282653	entire respiratory epithelium	respiratory epithelium
C0687732	prevention	preventions
C1283872	entire pericardial sac	pericardial sac
C1279152	entire back of head	back head
C1304947	entire orbicularis oculi	orbicularis oculi
C1278898	entire nasal sinus	nasal sinus
C0745732	list	lists
C0700173	need for measles vaccination	measles vaccination
C1268990	entire breast	mamma
C1269051	entire lumbar vertebra	lumbar vertebra
C1281231	entire lingual nerve	lingual nerve
C0496815	malignant neoplasm of labium minus	labium minus
C1281239	entire infraorbital nerve	infraorbital nerve
C1281560	entire ligament of hand	hand ligaments
C1136353	ethical aspects	ethical aspect
C0220824	equipment used	equipments
C1280709	entire endocervix	endocervix
C0332287	in addition to	with
C1266915	entire condyle	condyles
C1267334	entire colic artery	colic artery
C1281025	entire cingulate gyrus	cingulate gyrus
C0261934	adverse effects in the therapeutic use of cholera vaccine	cholera vaccine
C1269576	entire broca's area	broca's area
C0243073	assay	assays
C1305913	entire visual pathway	visual pathway
C0458624	entire tunica albuginea of testis (body structure)	tunica albuginea
C1269063	entire triangular bone	triquetrum
C1280066	entire thoracic inlet	thoracic inlet
C1268983	entire third ventricle	third ventricle
C1280697	entire tarsus	tarsus
C1278872	entire sympathetic nerve	nerves sympathetic
C0243089	sequels	sequel
C1278857	entire sacral plexus	sacral plexus
C1281970	entire right temporal lobe	right temporal lobe
C0220906	rickettsial	rickettsias
C0220905	regulatory	regulatory
C1282871	entire primary vitreous	primary vitreous
C1305071	entire peroneus brevis muscle	peroneus brevis
C1269071	entire patellofemoral joint	patellofemoral joint
C1288948	entire right hand	hand right
C1268255	entire right upper arm	arm right
C0161713	toxic effect of nitrogen oxide	nitrogen oxides
C1268985	entire optic nerve	nerve optic
C1279042	entire iliotibial tract	iliotibial tract
C0885658	pediculus capitis, homeopathic preparation	head louse
C1278861	entire genitofemoral nerve	genitofemoral nerve
C0392760	not free of (attribute)	affecting
C1314792	etiology	etiologies
C0011884	diabetic retinopathy	drs
C0683033	disease theory of alcohol or other drug use, abuse and dependence	disease model
C0740229	cope brand of aspirin-caffeine	cope
C1305731	entire chordae tendineae cordis	chordae tendinae
C0520446	artificial limb procedure	artificial limbs
C0243111	apparatus	apparatus
C1150096	aminopeptidase activity	aminopeptidase
C1150052	alpha-galactosidase activity	alpha-galactosidase
C0224437	entire adductor longus	adductor longus
C0332287	in addition to	addition
C1148662	acetylcholine receptor activity	acetylcholine receptor
C1278893	entire vitreous body	vitreous body
C1278949	entire ulnar artery	ulnar artery
C1305034	entire transversus abdominis muscle	transversus abdominis
C1305534	entire transverse process of vertebra (body structure)	transverse process
C0040733	transplantation aspects	transplanting
C1280227	entire ligament of foot	foot ligament
C1284098	entire tonsils and adenoids	tonsils adenoids
C1281060	entire subthalamic nucleus	subthalamic nucleus
C0439840	reflex motion descriptor	reflex action
C1280849	entire vomer bone	vomer
C0220888	increasing incidence	outbreak
C1149915	nucleotidase activity	nucleotidase
C0439118	upper case ess	's
C0457385	seconds	's
C1268987	entire musculocutaneous nerve	musculocutaneous nerve
C0448281	entire skeletal muscle of head and neck (body structure)	head muscles neck
C1269602	entire metacarpophalangeal joint	metacarpophalangeal joint
C1280691	entire malleus	malleus
C0920348	lymphatic vessel diseases	lymphatic vessels
C1281326	entire lumbar lymph node	lumbar lymph nodes
C1282608	entire muscle of lower back	back lower muscles
C1268966	entire frenulum linguae	lingual frenum
C1306462	light color	lights
C0277785	functional disorder	malfunction
C1281868	entire hilar lymph node (body structure)	hilar lymph node
C0524727	discipline of heart surgery	heart surgeries
C0153458	malignant neoplasm of head of pancreas	head of pancreas
C1281588	entire great toe	great toe
C1280710	entire female urethra	female urethra
C1280370	entire pituitary pars tuberalis	pituitary stalk
C0720099	Duration brand of oxymetazoline	duration
C1283893	entire body cavity	body cavity
C1282852	entire deep vein	deep veins
C1278869	entire deep peroneal nerve	deep peroneal nerve
C0729905	entire ostium of coronary artery (body structure)	coronary ostium
C1176299	mimic brand of tebufenozide	mimic
C0719341	cilium brand of psyllium	cilium
C1278987	entire cervix uteri	cervix uteri
C1281000	entire cerebellar vermis	cerebellar vermis
C1268965	entire celiac artery	celiac axis
C0220798	biotransformational	biotransformation
C1280369	entire adenohypophysis	adenohypophysis
C1269043	entire adductor muscle	adductor muscle
C1149454	activin activity	activin
C0234222	baresthesia	pressures
C1306345	pressure - action (qualifier value)	pressures
C1278835	entire vestibulocochlear nerve	vestibulocochlear nerve
C1282819	entire valve of vein	vein valve
C0042153	utilization	uses
C1281363	entire tibial tuberosity	tibial tuberosity
C1280674	entire thyroid cartilage	thyroid cartilage
C1268973	entire inner ear	ear inner
C1288568	entire sternal angle	sternal angle
C1305118	entire plantar calcaneonavicular ligament	spring ligament
C1267072	entire vertebral column	spines
C1280065	entire spine	spines
C1305153	entire right branch of atrioventricular bundle	right branch bundle
C1280945	entire retinal artery	retinal artery
C0178828	entire reproductive system	reproductive systems
C0918012	indexes	indices
C0458248	entire skin of preauricular region (body structure)	preauricular skin
C1153450	potassium channel activity	potassium channel
C0332287	in addition to	plu
C1149838	phospholipase activity	phospholipase
C1150452	phosphofructokinase activity	phosphofructokinase
C0220886	other location of complaint	other
C1269045	entire skeletal muscle of neck	muscles neck
C0036525	metastatic to	mt
C1150579	map kinase activity	mapk
C1279411	entire ligamentum arteriosum	ligamentum arteriosum
C1274040	result (navigational concept)	result
C0162443	journals	journaling
C1283903	entire intestinal tract	intestinal tract
C0205470	immunologic	immunologic
C1278855	entire ilioinguinal nerve	ilioinguinal nerve
C1152738	histamine receptor activity	histamine receptor
C1305719	entire innominate bone	bones hip
C0302487	encounter due to gynecological examination	gynecological examination
C1279114	entire greater trochanter of femur	greater trochanter
C0521033	fungal	fungis
C1279052	entire frontal bone	frontal bone
C0018563	hand	forefoot
C1282646	entire skin fat	fat skin
C0001962	ethanol	drinking alcohol
C0458434	entire detrusor muscle of urinary bladder (body structure)	detrusor muscle
C1148698	deoxyribonuclease activity	deoxyribonuclease
C1304986	entire deltoid muscle	deltoids
C1289433	entire crista galli	crista galli
C0677614	encounter due to convalescence	convalescence
C1281299	entire ciliary muscle	ciliary muscle
C1278758	entire carotid sheath	carotid sheath
C1280022	entire anterior talofibular ligament	anterior talofibular ligament
C1150039	alpha-amylase activity	alpha-amylase
C1280851	entire os zygomaticum	zygomatic bone
C0001962	ethanol	drink alcohol
C1281589	entire toe	toeing
C1318215	3	three
C0274844	toxic effect of tetrachloroethylene	tetrachloroethylene
C1140621	leg	anatomy leg
C1280307	entire submandibular lymph node	submandibular lymph node
C1281334	entire subglottis	subglottis
C1278839	entire spinal nerve root	spinal nerve root
C0001688	adverse effects	effects side
C1278918	entire salivary duct	salivary duct
C1306040	resource brand of nutrient supplement	resource
C1280332	entire rectosigmoid junction	rectosigmoid junction
C0034607	aspects of radionuclide imaging	radionuclide imaging
C0030657	pathogenicity aspects	pathogenicity
C0518896	nutrition outcomes	nutritions
C0600072	feeding and dietary regimes	nutritions
C1288949	entire left hand	hand left
C1289055	entire left ear	ear left
C1278647	entire ligament of neck	ligaments neck
C1278880	entire pituitary gland	gland pituitary
C0300926	mobilization	mobilization
C0448466	entire skeletal muscle of lower limb (body structure)	lower limb muscles
C1269025	entire internal jugular vein	internal jugular vein
C0221208	traumatic injection site	injection site
C0028678	nursing therapy	care nursing
C0205470	immunologic	immunological
C0459725	entire hair (body structure)	human hair
C1267098	entire skeletal muscle of hip	hip muscle
C1282797	entire ginglymus	hinge joint
C1269559	entire hepatic vein	hepatic vein
C0223744	entire hamate	hamate
C0040733	transplantation aspects	grafting
C1151910	gamma-glutamyl transferase activity	gamma-glutamyl transferase
C0224009	entire fifth metatarsal	fifth metatarsal
C0015450	face	facing
C1281591	entire face	facing
C1278963	entire external jugular vein	external jugular veins
C1269537	entire brain	encephalon
C1278836	entire spinal cord	cord spinal
C1278969	entire brachial vein	brachial vein
C1280675	entire cricoid cartilage	cricoid cartilage
C1281361	entire cribriform plate	cribriform plate
C0220818	congenital deformities	congenital deformity
C1281569	entire colon	colons
C0346906	malignant neoplasm of cerebral ventricles	cerebral ventricle
C0033107	prevention & control	control prevention
C0153656	malignant neoplasm of carotid body	carotid body
C0154044	benign neoplasm of carotid body	carotid body
C0496947	neoplasm of uncertain or unknown behavior of carotid body	carotid body
C0580931	in care (finding)	cares
C1150210	carboxypeptidase activity	carboxypeptidase
C1279048	entire axillary lymph node	axillary lymph node
C1282848	entire atrioventricular canal	atrioventricular canal
C1275494	entire temporalis muscle	temporalis
C1278938	entire anterior communicating artery	anterior communicating artery
C1269011	entire anterior cerebral artery	anterior cerebral artery
C1305096	entire labrum of acetabulum	acetabular labrum
C1305777	entire accessory nerve	accessory nerve
C0677546	old episode	olds
C1280850	entire zygomatic arch	zygomatic arch
C0496621	need for immunization against yellow fever	yellow fever vaccination
C1280490	entire vaginal canal	vaginal canal
C1288734	entire ulnar tunnel	ulnar tunnel
C1305910	entire vagus nerve	nerve vagus
C1269577	entire transverse sinus	transverse sinus
C1281187	entire wall of stomach	of stomach wall
C1278940	entire brachial artery	artery brachial
C1305001	entire supinator muscle	supinator
C1269087	entire subacromial bursa	subacromial bursa
C1281590	entire head	heading
C1279011	entire skin of foot	skin foot
C0014121	bacterial endocarditis	being
C0001688	adverse effects	effect side
C0022646	kidney	reno
C0576462	entire proximal phalanx (body structure)	proximal phalanx
C0033739	protozoa	protozoans
C1321499	entire prostatic gland	prostatic gland
C1280999	entire pons	pon
C0448642	entire plantaris muscle tendon (body structure)	plantaris tendon
C0205464	pharmacological	pharmacological
C1281760	entire optic cup	optic cup
C1150197	neprilysin activity	neprilysin
C0396200	procedures on nasal sinuses	nasal sinuses
C0025664	methodology	methodology
C0969625	methodology aspects	methodology
C1281658	entire mesenteric vein	mesenteric vein
C0028773	discipline of obstetrics	maternity care
C1305431	entire lumbar disc (body structure)	discs lumbar
C1278892	entire lens	len
C1268234	entire left hip region	left hip
C0225917	entire left bundle branch	left bundle branch
C0013217	pharmacotherapeutic	drugs therapy
C1269596	entire inferior alveolar nerve	inferior alveolar nerve
C0871208	rating	rating
C1305044	entire iliacus muscle	iliacus
C1282845	entire great blood vessel (organ)	great vessels
C1280198	entire trigeminal ganglion	ganglion trigeminal
C1280302	entire tendon of foot	foot tendon
C1279011	entire skin of foot	foot skin
C1282778	entire epicondyle	epicondyles
C0243102	enzyme activity	enzyme activity
C1150978	enolase activity	enolase
C0024752	workforce	employees
C0448194	entire distal femur (body structure)	distal femur
C1269565	entire digestive system	digestive systems
C0012160	nutritional management	diet therapy
C0600072	feeding and dietary regimes	diet therapy
C1280124	entire brachiocephalic artery	brachiocephalic artery
C1278972	entire basilic vein	basilic vein
C1279152	entire back of head	back of head
C1305286	entire autonomic nerve	autonomic nerve
C1148925	atp phosphohydrolase activity	atpase
C0004083	mental association	associations
C1269015	entire vertebral artery	artery vertebral
C0702121	antinuclear antibody assay	antinuclear factor
C1278946	entire anterior spinal artery	anterior spinal artery
C1305413	entire anterior fossa of cranial cavity	anterior cranial fossa
C1275965	entire antecubital vein	antecubital vein
C1152722	adrenergic receptor activity	adrenergic receptor
C1269043	entire adductor muscle	adductor muscles
C0024752	workforce	workforce
C0724378	vortex brand of guaifenesin-hydrocodone	vortex
C0446681	entire ventricle of brain (body structure)	ventricle of brain
C0042153	utilization	using
C1306479	entire trapezoid bone	trapezoid
C1277940	entire tonsillar crypt	tonsillar crypt
C1268989	entire adrenal gland	suprarenal gland
C0153484	malignant tumor of supraglottis (disorder)	supraglottis
C1281263	entire superior orbital fissure	superior orbital fissure
C1281715	entire lumbar spinal canal	spinal canal lumbar
C1269540	entire paraurethral gland	skene's gland
C1266909	entire bony skeleton	skeletal bones
C0392688	nutritional deficiency (finding)	of deficiency
C1281591	entire face	faced
C1282774	entire short bone	short bone
C0700174	need for rubella vaccination	rubella vaccination
C1281566	entire right femoral artery	right femoral artery
C1305153	entire right branch of atrioventricular bundle	right bundle branch
C0722425	pain relieve brand of acetaminophen	pain relieve
C1305773	entire symphysis pubis	pubis symphysis
C0332155	did not receive therapy or drug for	treated
C1149955	protein tyrosine phosphatase activity	protein tyrosine phosphatase
C0243145	pharmacodynamic aspects	pharmacodynamic
C1305222	entire blood vessel of retina	retina vessels
C1269539	entire glans penis	penis glans
C1289384	entire otoconia	otoconia
C1151471	nitric oxide synthase activity	nitric oxide synthase
C1280368	entire neurohypophysis	neurohypophysis
C1280875	entire vein of neck	neck veins
C1280984	entire nasal cartilage	nasal cartilage
C1279057	entire nasal bone	nasal bone
C1269040	entire nail bed	beds nail
C0243114	purification	purification
C1278943	entire maxillary artery	maxillary artery
C1278850	entire lumbosacral plexus	lumbosacral plexus
C1269079	entire lower limb	lower limb
C1282773	entire long bone	long bone
C1288949	entire left hand	left hand
C1151320	laccase activity	laccase
C1149197	il-2r activity	interleukin-2 receptor
C1149154	vasopressin receptor activity	vasopressin receptor
C1282797	entire ginglymus	hinge joints
C1150067	hexosaminidase activity	hexosaminidase
C1149093	globin activity	globin
C1305735	entire fascia lata	fascia lata
C1305068	entire extensor digitorum brevis muscle of foot	extensor digitorum brevis
C1281159	entire endolymphatic sac	endolymphatic sac
C0180580	electrocardiographic monitoring (regime/therapy)	ekgs
C1280341	entire urinary tract	tract urinary
C1184743	process	processes
C1269894	entire left atrium	atrium left
C0452150	toxic effect of dichloromethane	dichloromethane
C1153524	cytochrome c activity	cytochrome c
C0238080	toxic effect of cyanide	cyanides
C1305752	entire glossopharyngeal nerve	cranial nerve ix
C1269532	entire common hepatic duct	common hepatic duct
C1306477	entire capitate bone	capitate
C1150110	signal peptide peptidase activity	spp
C1304988	entire brachialis muscle	brachialis
C0224235	entire biceps brachii	biceps brachii
C1281559	entire auditory pathway	auditory pathway
C1269553	entire atrioventricular node	atrioventricular node
C1149970	arylsulfatase activity	arylsulfatase
C1269000	entire appendix	appendixs
C1150055	alpha-glucosidase activity	alpha-glucosidase
C1288948	entire right hand	right hand
C1305915	entire xiphoid process of sternum	xiphisternum
C1151293	xanthine oxidase activity	xanthine oxidase
C0024752	workforce	workers
C1151407	urate oxidase activity	urate oxidase
C1152250	thymidylate synthase activity	thymidylate synthase
C1305314	entire thoracic disc (body structure)	discs thoracic
C1304984	entire teres minor muscle	teres minor
C1277310	entire temporal fossa	temporal fossa
C1305097	entire talonavicular joint (body structure)	talonavicular joint
C1149498	tachykinin activity	tachykinin
C1280388	entire upper lip	upper lip
C0723346	Sinus brand of acetaminophen-pseudoephedrine	sinu
C1305231	sinus - general anatomical term	sinu
C0243118	lawsuits	lawsuit
C1305064	entire semitendinosus muscle	semitendinosus
C0947630	scientific study	scientific study
C1281161	entire saccule	saccule
C1279571	entire right knee	right knee
C1268255	entire right upper arm	right arm
C1280086	entire retroperitoneal space	retroperitoneal space
C1281091	entire capsule of kidney	renal capsule
C1305421	entire skin of palmar area of hand (body structure)	palms skin
C1314792	etiology	causeing
C1280218	entire posterior longitudinal ligament	posterior longitudinal ligament
C1282793	entire pivot joint	pivot joint
C1279864	entire pelvis	pelvi
C1279053	entire parietal bone	parietal bone
C1269612	entire upper arm	arm upper
C0220885	organizational	organizational
C0028678	nursing therapy	caring nursing
C0243095	findings	findings
C1281776	entire notochord	notochord
C1152805	n-methyl-d-aspartate selective glutamate receptor activity	nmda receptor
C1150037	exo-alpha-sialidase activity	neuraminidase
C1151146	nadph oxidase activity	nadph oxidase
C1150579	map kinase activity	map kinase
C1280231	entire macula densa	macula densa
C1282377	entire apex of lung	lung apex
C1281715	entire lumbar spinal canal	lumbar spinal canal
C1305031	entire levator scapulae muscle	levator scapulae
C1152701	leukotriene receptor activity	leukotriene receptor
C1280975	entire endocrine system (body structure)	system endocrine
C1153415	ion channel activity	ion channel
C1280970	entire inguinal ring	inguinal ring
C1268998	entire small intestine	intestine small
C0439068	upper case eye	ied
C0439135	lower case eye	ied
C1283904	entire hair shaft	hair shaft
C1305729	entire skeletal muscle of gluteal region	gluteal muscle
C1150054	glucosidase activity	glucosidase
C1150444	glucokinase activity	glucokinase
C0699895	encounter due to artificial insemination	gamete intrafallopian transfer
