CUI	UMLS_NAME
C1279421	entire bronchial vein
C1279432	entire bronchial lumen
C1279455	entire lung parenchyma
C1279457	entire alveolar epithelium
C1279466	entire pulmonary ligament
C1279493	entire aortic area
C1279494	entire pulmonic area
C1279495	entire mitral area
C1279512	entire lactating breast
C1279527	entire thoracic nerve
C1279545	entire lateral epicondyle of femur
C1279548	entire right thigh
C1279549	entire left thigh
C1279569	entire adductor canal
C1279571	entire right knee
C1279572	entire left knee
C1279580	entire sternum
C1279596	entire vein of the knee
C1279605	entire right lower leg
C1279606	entire left lower leg
C1279630	entire lateral sural cutaneous nerve
C1279650	entire ball of foot
C1279722	entire skin of all toes
C1279862	entire shoulder girdle
C1279864	entire pelvis
C1279869	entire tendon of toe
C1279997	entire metatarsal joint
C1279998	entire right foot
C1279999	entire left foot
C1280013	entire right ankle
C1280015	entire left ankle
C1280022	entire anterior talofibular ligament
C1280023	entire posterior talofibular ligament
C1280041	entire mid abdomen (surface region)
C1280042	entire right upper quadrant of abdomen
C1280043	entire left upper quadrant of abdomen
C1280045	entire upper abdominal quadrant
C1280046	entire right lower quadrant of abdomen
C1280047	entire left lower quadrant of abdomen
C1280048	entire lower abdominal quadrant
C1280049	entire right renal pelvis
C1280050	entire left renal pelvis
C1280064	entire body region
C1280066	entire thoracic inlet
C1280078	entire thoracic cavity
C1280080	entire posterior mediastinum
C1280083	entire umbilical region
C1280084	entire inguinal region
C1280085	entire inguinal canal
C1280086	entire retroperitoneal space
C1280087	entire waist (surface region)
C1280088	entire perineum
C1280090	entire limb
C1280093	entire skin of nose
C1280095	entire skin of tip of nose
C1280096	entire skin of lip
C1280102	entire skin of shoulder
C1280104	entire nail of finger
C1280105	entire nail of toe
C1280106	entire artery of head, neck and/or brain
C1280108	entire choroidal artery
C1280109	entire anterior choroidal artery
C1280113	entire posterior auricular artery
C1280116	entire costocervical trunk
C1280119	entire aortic bifurcation
C1280124	entire brachiocephalic artery
C1280125	entire bronchial artery
C1280127	entire splenic artery
C1280130	entire gastroduodenal artery
C1280135	entire cystic artery
C1280137	entire middle colic artery
C1280141	entire ovarian artery
C1280142	entire testicular artery
C1280145	entire bowman's space
C1280153	entire uterine artery
C1280154	entire vaginal artery
C1280161	entire external pudendal artery
C1280162	entire internal pudendal artery
C1280172	entire iliac artery
C1280173	entire femoral artery
C1280177	entire right ventricular outflow tract
C1280179	entire systemic vein (body structure)
C1280181	entire cerebral vein
C1280184	entire inferior cerebral vein
C1280187	entire cavernous sinus
C1280188	entire jugular vein
C1280189	entire vein of trunk
C1280190	entire vena cava
C1280191	entire azygous vein
C1280193	entire fetal umbilical vein
C1280196	entire sacral spinal cord
C1280198	entire trigeminal ganglion
C1280200	entire peripheral nerve
C1280203	entire skin of eyebrow
C1280204	entire iridocorneal angle
C1280205	entire upper eyelid
C1280209	entire joint of thumb
C1280211	entire intervertebral disc
C1280213	entire supraspinous ligament
C1280214	entire interspinous ligament
C1280215	entire ligamentum flavum
C1280217	entire anterior longitudinal ligament
C1280218	entire posterior longitudinal ligament
C1280222	entire coracohumeral ligament
C1280226	entire calcaneofibular ligament
C1280227	entire ligament of foot
C1280229	entire palatine bone
C1280230	entire second rib
C1280231	entire macula densa
C1280233	entire fourth rib
C1280236	entire seventh rib
C1280238	entire ninth rib
C1280241	entire twelfth rib
C1280244	entire maxillary tuberosity
C1280245	entire body of mandible
C1280246	entire angle of mandible
C1280260	entire skeletal muscle (organ)
C1280264	entire pterygoid muscle
C1280271	entire cricothyroid muscle
C1280275	entire skeletal muscle of trunk
C1280282	entire skeletal muscle of abdomen
C1280284	entire skeletal muscle of pelvis
C1280287	entire obturator muscle
C1280288	entire plantar muscle of foot
C1280300	entire tendon of biceps femoris
C1280301	entire tendon of semimembranosus
C1280302	entire tendon of foot
C1280306	entire submental lymph node
C1280307	entire submandibular lymph node
C1280308	entire jugular lymph node
C1280309	entire supraclavicular lymph node
C1280310	entire occipital lymph node
C1280311	entire anterior auricular lymph node
C1280313	entire abdominal lymph node
C1280315	entire pelvic lymph node
C1280317	entire porta hepatis
C1280318	entire tail of pancreas
C1280319	entire uncinate process of pancreas
C1280322	entire neck of gallbladder
C1280323	entire cystic duct
C1280324	entire hepatic duct
C1280325	entire left hepatic duct
C1280330	entire right colic flexure
C1280331	entire left colic flexure
C1280332	entire rectosigmoid junction
C1280336	entire anal canal
C1280338	entire anal sinus
C1280341	entire urinary tract
C1280344	entire vas deferens
C1280345	entire hymen
C1280346	entire vaginal vault
C1280347	entire fornix of vagina
C1280351	entire lower uterine segment
C1280355	entire cervical canal
C1280356	entire round ligament of uterus
C1280357	entire uterosacral ligament
C1280360	entire epiglottis
C1280361	entire vocal cord
C1280362	entire vocal fold
C1280363	entire main bronchus
C1280366	entire collecting tubule
C1280367	entire lobe of lung
C1280368	entire neurohypophysis
C1280369	entire adenohypophysis
C1280370	entire pituitary pars tuberalis
C1280374	entire dental arch
C1280375	entire permanent tooth
C1280376	entire lower nephron
C1280386	entire gingival sulcus
C1280388	entire upper lip
C1280389	entire lower lip
C1280390	entire hard palate
C1280391	entire papilla incisiva of mouth
C1280392	entire soft palate
C1280398	entire mucous membrane of lip
C1280401	entire medial patellar retinaculum
C1280406	entire skin of eyelid
C1280407	entire skin of upper eyelid
C1280415	entire perirenal fat
C1280431	entire exocrine pancreas
C1280434	entire sphincter pancreaticus
C1280448	entire retroperitoneal lymph node
C1280484	entire vaginal rugae
C1280490	entire vaginal canal
C1280498	entire uterine serosa
C1280501	entire endometrial stroma
C1280521	entire capillary blood vessel (organ)
C1280533	entire chorionic plate
C1280534	entire placental cotyledon
C1280536	entire placental membrane
C1280538	entire tendon
C1280540	entire buccal mucosa
C1280542	entire beard
C1280546	entire intervillous space
C1280547	entire chorion frondosum
C1280552	entire placental site
C1280553	entire chorion laeve
C1280571	entire cumulus oophorus
C1280579	entire rete ovarii
C1280603	entire gastrocolic ligament
C1280605	entire infratemporal fossa
C1280611	entire anterior mediastinum
C1280618	entire umbilical artery
C1280619	entire atrium
C1280620	entire mesoappendix
C1280632	entire trunk
C1280646	entire manubriosternal joint
C1280648	entire costotransverse joint
C1280649	entire ciliary body
C1280650	entire lacrimal punctum
C1280653	entire hyoid bone
C1280654	entire cerebrum
C1280655	entire head of rib
C1280656	entire neck of rib
C1280659	entire oropharynx
C1280660	entire cauda equina
C1280672	entire nasal cavity
C1280674	entire thyroid cartilage
C1280675	entire cricoid cartilage
C1280677	entire duodenojejunal flexure
C1280680	entire membranous labyrinth
C1280683	entire angle of mouth
C1280685	entire epitrochlear lymph node
C1280687	entire hilum of lung
C1280690	entire male urethra
C1280691	entire malleus
C1280694	entire pituitary fossa
C1280695	entire stapes
C1280697	entire tarsus
C1280703	entire arytenoid cartilage
C1280704	entire choroid plexus
C1280705	entire cranial cavity
C1280708	entire cuneiform cartilage
C1280709	entire endocervix
C1280710	entire female urethra
C1280711	entire glottis
C1280712	entire hypothalamus
C1280714	entire testicular vein
C1280717	entire retrocecal appendix
C1280725	entire pericolic tissue
C1280732	entire nipple
C1280733	entire eyebrow
C1280734	entire eyelid
C1280735	entire external nose
C1280736	entire palatine tonsil
C1280737	entire subclavian artery
C1280740	entire scrotum
C1280741	entire male perineum
C1280742	entire vulva
C1280743	entire female perineum
C1280744	entire umbilicus
C1280750	entire intestinal epithelium
C1280770	entire auerbach's plexus
C1280772	entire inferior esophageal sphincter
C1280774	entire pyloric gland
C1280775	entire pyloric sphincter
C1280778	entire cardiac incisure of stomach
C1280781	entire gastric rugae
C1280799	entire valve of heister
C1280803	entire caudate process of caudate lobe of liver
C1280836	entire body organ
C1280837	entire digestive organ
C1280838	entire female genital organ
C1280839	entire incus
C1280844	entire uterine ligament
C1280845	entire ethmoid bone
C1280847	entire sphenoid bone
C1280849	entire vomer bone
C1280850	entire zygomatic arch
C1280851	entire os zygomaticum
C1280861	entire lymphatics of kidney
C1280875	entire vein of neck
C1280879	entire parasympathetic nerve
C1280888	entire vestibular gland
C1280889	entire bile duct
C1280890	entire extrahepatic bile duct
C1280896	entire anterior naris
C1280898	entire psoas muscle
C1280901	entire pancreatic lymph node
C1280904	entire right ureter
C1280906	entire cardiac chamber
C1280924	entire lingual tonsil
C1280926	entire pharyngeal recess
C1280928	entire lacunar ligament
C1280930	entire wall of cervix
C1280934	entire cardiac ventricle
C1280937	entire tendon of todaro
C1280938	entire cardiac vein
C1280939	entire great cardiac vein
C1280945	entire retinal artery
C1280953	entire splenic vein
C1280955	entire middle meningeal artery
C1280956	entire cerebellar artery
C1280958	entire ovarian vein
C1280959	entire suprarenal vein
C1280961	entire foramen of bochdalek
C1280962	entire foramen of morgagni
C1280969	entire hesselbach's triangle
C1280970	entire inguinal ring
C1280971	entire deep inguinal ring
C1280973	entire genitourinary system
C1280974	entire lymphoreticular system
C1280975	entire endocrine system (body structure)
C1280976	entire dorsal scapular nerve
C1280979	entire thoracodorsal nerve
C1280981	entire bulbourethral gland
C1280983	entire nasal vestibule
C1280984	entire nasal cartilage
C1280986	entire tracheal cartilage
C1280991	entire frontal region
C1280992	entire lactiferous sinus
C1280994	entire cisterna chyli
C1280995	entire lymphatic vessel
C1280997	entire midbrain
C1280999	entire pons
C1281000	entire cerebellar vermis
C1281003	entire parotid lymph node
C1281004	entire popliteal lymph node
C1281005	entire pulvinar
C1281006	entire femoral lymph node
C1281007	entire jugular notch of sternum
C1281009	entire postcentral gyrus
C1281010	entire superior parietal lobule
C1281013	entire supramarginal gyrus
C1281014	entire angular gyrus
C1281019	entire insula
C1281023	entire gyrus rectus
C1281025	entire cingulate gyrus
C1281026	entire dentate gyrus
C1281029	entire middle cerebellar peduncle
C1281034	entire interventricular foramen
C1281038	entire sigmoid sinus
C1281041	entire occipital sinus
C1281046	entire falx cerebri
C1281048	entire superior cervical ganglion
C1281050	entire inferior cervical ganglion
C1281051	entire ciliary ganglion
C1281053	entire otic ganglion
C1281060	entire subthalamic nucleus
C1281063	entire genu of corpus callosum
C1281065	entire diencephalon
C1281066	entire papillary muscle
C1281067	entire subthalamus
C1281071	entire central sulcus
C1281072	entire precentral sulcus
C1281074	entire superior temporal sulcus
C1281084	entire flocculonodular lobe
C1281091	entire capsule of kidney
C1281094	entire olfactory bulb
C1281095	entire amygdaloid nucleus
C1281096	entire claustrum
C1281097	entire spinal cord white matter
C1281113	entire intercostal nerve
C1281120	entire helix of ear
C1281123	entire antihelix
C1281125	entire seminiferous tubule
C1281128	entire rete testis
C1281139	entire pampiniform plexus
C1281141	entire ejaculatory duct
C1281143	entire lobe of prostate
C1281154	entire suspensory ligament of penis
C1281159	entire endolymphatic sac
C1281160	entire utricle
C1281161	entire saccule
C1281170	entire corpus uteri
C1281171	entire myometrium
C1281172	entire mesosalpinx
C1281173	entire mesovarium
C1281177	entire penile vein
C1281178	entire superior laryngeal nerve
C1281179	entire quadrate lobe of liver
C1281182	entire gastrointestinal tract
C1281183	entire lower gastrointestinal tract
C1281187	entire wall of stomach
C1281194	entire right fallopian tube
C1281196	entire right ovary
C1281197	entire left ovary
C1281199	entire mental nerve
C1281211	entire nucleus ambiguus
C1281212	entire parapharyngeal space
C1281213	entire retropharyngeal area
C1281214	entire ophthalmic nerve
C1281215	entire maxillary nerve
C1281216	entire mandibular nerve
C1281221	entire supraorbital nerve
C1281227	entire buccal nerve
C1281228	entire masseteric nerve
C1281229	entire deep temporal nerve
C1281230	entire auriculotemporal nerve
C1281231	entire lingual nerve
C1281233	entire cochlear nerve
C1281237	entire phrenic nerve
C1281239	entire infraorbital nerve
C1281240	entire sphenopalatine ganglion
C1281241	entire amniotic cavity
C1281242	entire falx cerebelli
C1281245	entire right tonsil (palatine)
C1281246	entire left tonsil (palatine)
C1281247	entire skin of thumb
C1281249	entire parametrium
C1281253	entire lumbar splanchnic nerve
C1281262	entire rectovaginal septum
C1281263	entire superior orbital fissure
C1281270	entire meibomian gland
C1281272	entire aqueous humor
C1281279	entire lacrimal duct
C1281285	entire nasolacrimal duct
C1281286	entire umbilical cord
C1281287	entire uveal tract
C1281294	entire trabecular meshwork
C1281297	entire hair follicle
C1281298	entire endocervical gland
C1281299	entire ciliary muscle
C1281304	entire fetal pupillary membrane
C1281305	entire lamina choroidocapillaris
C1281306	entire retinal vein
C1281307	entire central retinal artery
C1281308	entire optic radiation
C1281316	entire uterine vein
C1281317	entire popliteal vein
C1281318	entire anterior tibial vein
C1281322	entire carotid sinus
C1281323	entire intercostobrachial nerve
C1281326	entire lumbar lymph node
C1281327	entire artery of abdomen
C1281328	entire vein of thorax
C1281329	entire abdominal vein
C1281330	entire pelvic vein
C1281331	entire epithalamus
C1281332	entire hypopharynx
C1281333	entire intestinal lymph node
C1281334	entire subglottis
C1281335	entire putamen
C1281337	entire long head of biceps brachii muscle
C1281339	entire left adrenal gland
C1281340	entire skin of upper lip
C1281343	entire presacral region
C1281344	entire auditory system
C1281346	entire epidural space
C1281347	entire intervertebral foramen
C1281348	entire pelvic cavity
C1281349	entire subdeltoid bursa
C1281350	entire infrapatellar fat pad
C1281353	entire lacteal
C1281354	entire ischial bursa
C1281361	entire cribriform plate
C1281363	entire tibial tuberosity
C1281366	entire joint of pelvis
C1281370	entire right common iliac artery
C1281371	entire left common iliac artery
C1281374	entire digit of hand
C1281392	entire paraumbilical vein
C1281400	entire skin of lower back
C1281410	entire coccygeal nerve
C1281419	entire retropubic space
C1281432	entire roof of acetabulum
C1281437	entire sciatic artery
C1281449	entire sacral promontory
C1281483	entire transplanted embryo
C1281484	entire embryo stage
C1281512	entire abortus
C1281530	entire male genital organ
C1281531	entire lunula
C1281532	entire cuticle of nail
C1281533	entire nail root
C1281535	entire hyponychium
C1281559	entire auditory pathway
C1281560	entire ligament of hand
C1281562	entire tooth
C1281566	entire right femoral artery
C1281568	entire lumbar plexus
C1281571	entire thoracic aorta
C1281572	entire ureter
C1281574	entire urethra
C1281575	entire scapula
C1281576	entire shaft of radius
C1281577	entire rib
C1281578	entire shaft of tibia
C1281580	entire fibula
C1281581	entire left femoral artery
C1281584	entire finger
C1281585	entire hip region
C1281586	entire thigh
C1281588	entire great toe
C1281589	entire toe
C1281597	entire peroneal vein
C1281612	entire adductor tendon
C1281614	entire fabella
C1281625	entire perineal nerve
C1281630	entire right middle ear
C1281636	entire thyroid vein
C1281644	entire upper lobe of lung
C1281645	entire lower lobe of lung
C1281655	entire deep cervical vein
C1281658	entire mesenteric vein
C1281659	entire esophageal vein
C1281661	entire left pulmonary vein
C1281662	entire skin of hand and foot
C1281666	entire serous cavity
C1281670	entire gonad
C1281673	entire gastric artery
C1281674	entire ductus venosus
C1281675	entire skin of upper back
C1281677	entire sacrospinous ligament
C1281690	entire labyrinth
C1281691	entire joint cavity
C1281692	entire articular cartilage
C1281693	entire muscle of upper back
C1281715	entire lumbar spinal canal
C1281760	entire optic cup
C1281761	entire hyaloid artery
C1281767	entire genital tubercle
C1281769	entire mesonephric duct
C1281775	entire septum transversum
C1281776	entire notochord
C1281778	entire thyroglossal duct
C1281779	entire dorsal mesentery
C1281780	entire allantois
C1281781	entire cloacal membrane
C1281785	entire omphalomesenteric vein
C1281786	entire blastocyst
C1281788	entire cytotrophoblast
C1281796	entire atrioventricular canal cushion
C1281797	entire ostium primum
C1281798	entire ostium secundum
C1281803	entire premaxillary bone
C1281825	entire lumbosacral vertebrae
C1281840	entire ganglion impar
C1281843	entire sacroiliac region
C1281854	entire sphenopalatine artery
C1281864	entire apex of patella
C1281868	entire hilar lymph node (body structure)
C1281954	entire right frontal lobe
C1281955	entire left frontal lobe
C1281957	entire frontal pole
C1281959	entire right parietal lobe
C1281960	entire left parietal lobe
C1281962	entire right occipital lobe
C1281963	entire left occipital lobe
C1281968	entire temporal pole
C1281970	entire right temporal lobe
C1281971	entire left temporal lobe
C1281972	entire occipital pole
C1281984	entire cerebellar tonsil
C1282004	entire vein of head
C1282006	entire diagonal branch of anterior descending branch of left coronary artery (body structure)
C1282012	entire subarachnoid cistern
C1282130	entire region of kidney (body structure)
C1282377	entire apex of lung
C1282378	entire base of lung
C1282379	entire fasciculus cuneatus
C1282429	entire iliac lymph node (body structure)
C1282445	entire vein of hand
C1282581	entire conus medullaris
C1282604	entire intervertebral space
C1282608	entire muscle of lower back
C1282622	entire hair cortex
C1282625	entire hair papilla
C1282632	entire vellus hair
C1282633	entire terminal hair
C1282636	entire dermal papilla
C1282643	entire capillary of skin
C1282646	entire skin fat
C1282648	entire elastic fibers of skin
C1282653	entire respiratory epithelium
C1282656	entire appendicular skeleton
C1282662	entire esophageal lumen
C1282663	entire esophageal gland
C1282680	entire virchow-robin space
C1282685	entire femoral plexus
C1282702	entire spinal sensory nerve
C1282712	entire superficial lymph node
C1282725	entire transplanted bone marrow
C1282726	entire red bone marrow
C1282727	entire yellow bone marrow
C1282749	entire flexor tendon
C1282750	entire extensor tendon
C1282751	entire common tendon
C1282752	entire tendon insertion
C1282759	entire tunnel of tendon
C1282761	entire aponeurosis
C1282773	entire long bone
C1282774	entire short bone
C1282775	entire flat bone
C1282777	entire epiphyseal line
C1282778	entire epicondyle
C1282782	entire capsular ligament
C1282783	entire collateral ligament
C1282786	entire meniscus of joint
C1282789	entire squamous suture
C1282792	entire spheroidal joint
C1282793	entire pivot joint
C1282797	entire ginglymus
C1282798	entire condylar joint
C1282819	entire valve of vein
C1282820	entire transplanted artery
C1282822	entire small artery
C1282824	entire large artery
C1282826	entire arteriole
C1282841	entire small blood vessel (organ) (body structure)
C1282845	entire great blood vessel (organ)
C1282848	entire atrioventricular canal
C1282849	entire sinus venosus of fetus
C1282851	entire superficial vein
C1282852	entire deep vein
C1282853	entire venous sinus
C1282854	entire venule
C1282858	entire perivascular space
C1282864	entire lumen of body system
C1282866	entire blastomere
C1282867	entire bilaminar embryo
C1282869	entire fetal tunica vasculosa lentis (body structure)
C1282871	entire primary vitreous
C1282882	entire myotome
C1282889	entire embryonic disc
C1282902	entire body compartment
C1283367	entire glomus
C1283673	entire tendon and tendon sheath
C1283786	entire blood vessel
C1283788	entire spinal nerve
C1283789	entire phalanx of hand
C1283790	entire carotid nerve
C1283793	entire tubercle of rib
C1283794	entire genitourinary tract
C1283795	entire genital system
C1283796	entire male genitourinary tract
C1283798	entire respiratory tract
C1283799	entire ovarian follicle
C1283832	entire cerebral vessels
C1283835	entire axillary fossa
C1283836	entire wrist region
C1283837	entire carpus
C1283839	entire ankle region
C1283841	entire abdominal cavity
C1283846	entire pelvic floor
C1283860	entire modiolus
C1283871	entire proximal phalanx of hand
C1283872	entire pericardial sac
C1283874	entire renal pyramid
C1283875	entire renal corpuscle
C1283877	entire glomerular capsule
C1283878	entire renal tubule
C1283880	entire henle's loop
C1283882	entire nephron
C1283883	entire lymphoid organ
C1283884	entire endocrine pancreas
C1283885	entire male genital system
C1283887	entire limbic system
C1283888	entire supratentorial brain
C1283889	entire filum terminale
C1283890	entire ala nasi
C1283891	entire vomeronasal organ
C1283892	entire nasal passage (body structure)
C1283893	entire body cavity
C1283897	entire abdominal wall muscle
C1283899	entire biliary system
C1283900	entire head and neck
C1283902	entire submandibular area
C1283903	entire intestinal tract
C1283904	entire hair shaft
C1283905	entire hair bulb
C1283906	entire inner root sheath
C1283907	entire fauces
C1283909	entire pulmonary alveolus
C1283910	entire pulmonary acinus
C1283911	entire neuromyoarterial glomus
C1283912	entire digit
C1283913	entire locomotor system
C1283917	entire uterine adnexa
C1283921	entire endometrial gland
C1283922	entire skeleton
C1283923	entire respiratory airway
C1283924	entire nose, accessory sinus and nasopharynx, cs
C1283925	entire larynx, trachea, bronchi and lungs, cs
C1283926	entire tracheobronchial tree
C1283928	entire female genital system
C1284077	entire hippocampus
C1284085	entire corpora quadrigemina
C1284087	entire cerebellar cortex
C1284088	entire neocerebellum
C1284096	entire testicle
C1284098	entire tonsils and adenoids
C1284110	entire cervical spinal column
C1284113	entire adnexa oculi
C1284115	entire cerebral white matter
C1284424	entire duodenal cap
C1284948	entire processus vaginalis peritonei (body structure)
C1285505	entire of artery of head
C1288305	entire eyelash
C1288409	entire right testis
C1288410	entire left testis
C1288430	entire pelvic diaphragm
C1288435	entire perineal body
C1288438	entire pudendal canal
C1288568	entire sternal angle
C1288581	entire true rib
C1288582	entire false rib
C1288590	entire subclavius muscle
C1288598	entire umbilical ring
C1288602	entire wharton's jelly
C1288608	entire supravesical fossa
C1288635	entire femoral ring
C1288639	entire right shoulder region
C1288640	entire left shoulder region
C1288684	entire soft tissues of shoulder
C1288706	entire medial border of scapula
C1288726	entire bone of upper arm
C1288734	entire ulnar tunnel
C1288735	entire radial tuberosity
C1288742	entire left forearm
C1288752	entire left wrist
C1288871	entire skin of all fingers
C1288875	entire tendon sheath of finger
C1288876	entire tendon of finger
C1288948	entire right hand
C1288949	entire left hand
C1288951	entire skin of hand, including finger
C1289001	entire antebrachial fascia
C1289017	entire suprasellar region
C1289022	entire right lower eyelid
C1289023	entire right maxillary sinus
C1289033	entire right ear
C1289034	entire right lateral ventricle
C1289043	entire left upper eyelid
C1289045	entire left maxillary sinus
C1289055	entire left ear
C1289056	entire left lateral ventricle
C1289138	entire galea aponeurotica
C1289170	entire rima oris
C1289171	entire vestibule of mouth
C1289178	entire gland of mucous membrane of tongue
C1289183	entire lingual papillae
C1289196	entire parotid papilla
C1289218	entire soft tissues of face
C1289233	entire tarsal muscle
C1289240	entire lacus lacrimalis
C1289248	entire ciliary artery
C1289264	entire cornea of both eyes
C1289266	entire transplanted cornea
C1289267	entire corneal epithelium
C1289270	entire conjunctiva of both eyes
C1289274	entire iris of both eyes
C1289279	entire pupil of both eyes
C1289286	entire retina of both eyes
C1289299	entire orbital septum
C1289316	entire mandibular canal
C1289321	entire nasal gland
C1289327	entire nasal fossae
C1289329	entire agger nasi
C1289377	entire mesotympanum
C1289384	entire otoconia
C1289388	entire spiral ganglion
C1289393	entire tectorial membrane
C1289433	entire crista galli
C1289445	entire locus ceruleus
C1289463	entire central tegmental tract
C1289466	entire cerebellopontine angle
C1289468	entire area postrema
C1289506	entire fasciculus gracilis
C1289511	entire cingulum
C1289526	entire entorhinal cortex
C1289536	entire nucleus basalis of meynert
C1289542	entire hippocampal commissure
C1289543	entire crus of fornix
C1289546	entire anterior commissure
C1289557	entire supraoptic nucleus
C1289558	entire paraventricular nucleus
C1289559	entire suprachiasmatic nucleus
C1289610	entire massa intermedia
C1289613	entire zona incerta
C1289618	entire cavum septi pellucidi
C1289620	entire centrum semiovale
C1289623	entire forceps major
C1289643	entire cortex of insula
C1289646	entire pallium
C1289648	entire fissure of sylvius
C1289654	entire periaqueductal gray matter
C1289692	entire calcar avis
C1289704	entire lateral spinothalamic tract
C1289707	entire vestibulospinal tract
C1289716	entire carotid siphon
C1304900	entire acromial end of clavicle
C1304902	entire distal end of radius
C1304903	entire hook of hamate bone
C1304905	entire shaft of metacarpal bone
C1304906	entire head of metacarpal bone
C1304907	entire base of first metacarpal bone
C1304926	entire proximal epiphysis of femur
C1304940	entire splenius capitis muscle
C1304942	entire risorius muscle
C1304945	entire depressor labii inferioris muscle
C1304946	entire buccinator muscle
C1304947	entire orbicularis oculi
C1304949	entire corrugator supercilii muscle
C1304954	entire mentalis muscle
C1304957	entire orbicularis oris
C1304959	entire sternocleidomastoid muscle
C1304960	entire digastric
C1304961	entire stylohyoid muscle
C1304963	entire geniohyoid muscle
C1304964	entire sternohyoid muscle
C1304965	entire omohyoid muscle
C1304967	entire thyrohyoid muscle
C1304968	entire longus colli
C1304972	entire platysma muscle
C1304977	entire genioglossus muscle
C1304978	entire styloglossus muscle
C1304982	entire procerus muscle
C1304983	entire nasalis
C1304984	entire teres minor muscle
C1304985	entire teres major muscle
C1304986	entire deltoid muscle
C1304988	entire brachialis muscle
C1304989	entire coracobrachialis muscle
C1304990	entire anconeus muscle
C1304992	entire palmaris longus muscle
C1304993	entire flexor carpi ulnaris
C1304994	entire flexor digitorum superficialis muscle
C1304995	entire pronator quadratus muscle
C1304996	entire brachioradialis muscle
C1304997	entire extensor carpi radialis longus muscle
C1304998	entire extensor carpi radialis brevis muscle
C1304999	entire extensor digitorum muscle of hand
C1305000	entire extensor carpi ulnaris
C1305001	entire supinator muscle
C1305002	entire palmaris brevis muscle
C1305003	entire abductor pollicis longus muscle
C1305004	entire abductor pollicis brevis muscle
C1305006	entire extensor pollicis brevis muscle
C1305007	entire extensor indicis muscle
C1305009	entire adductor pollicis
C1305013	entire longissimus thoracis muscle
C1305016	entire spinalis thoracis muscle
C1305019	entire semispinalis muscle
C1305022	entire semispinalis capitis muscle
C1305025	entire pectoralis minor muscle
C1305026	entire serratus anterior muscle
C1305027	entire trapezius muscle
C1305028	entire latissimus dorsi muscle
C1305031	entire levator scapulae muscle
C1305032	entire pyramidalis muscle
C1305033	entire cremaster muscle
C1305034	entire transversus abdominis muscle
C1305035	entire quadratus lumborum muscle
C1305037	entire levator ani muscle
C1305038	entire puborectalis muscle
C1305040	entire external anal sphincter
C1305041	entire bulbospongiosus muscle
C1305042	entire ischiocavernosus muscle
C1305043	entire iliopsoas muscle
C1305044	entire iliacus muscle
C1305045	entire psoas major muscle
C1305047	entire obturator internus
C1305048	entire obturator externus
C1305049	entire gluteus maximus muscle
C1305050	entire gluteus medius muscle
C1305051	entire gluteus minimus muscle
C1305052	entire piriformis muscle
C1305054	entire quadratus femoris muscle
C1305055	entire sartorius muscle
C1305056	entire adductor brevis muscle
C1305057	entire adductor magnus muscle
C1305058	entire gracilis muscle
C1305059	entire quadriceps femoris muscle
C1305060	entire pectineus muscle
C1305061	entire vastus intermedius muscle
C1305062	entire biceps femoris muscle
C1305063	entire semimembranosus muscle
C1305064	entire semitendinosus muscle
C1305065	entire tibialis anterior
C1305067	entire extensor digitorum longus muscle of foot
C1305068	entire extensor digitorum brevis muscle of foot
C1305069	entire extensor hallucis longus muscle
C1305071	entire peroneus brevis muscle
C1305072	entire peroneus tertius muscle
C1305074	entire flexor hallucis brevis muscle
C1305076	entire abductor hallucis muscle
C1305078	entire sagittal suture of skull
C1305079	entire coronal suture of skull
C1305081	entire anterior fontanel of skull
C1305082	entire posterior fontanel of skull
C1305095	entire costochondral junction
C1305096	entire labrum of acetabulum
C1305097	entire talonavicular joint (body structure)
C1305099	entire semimembranosus muscle bursa
C1305101	entire superior oblique muscle tendon
C1305103	entire extensor carpi ulnaris muscle tendon
C1305118	entire plantar calcaneonavicular ligament
C1305119	entire fascia of abdomen
C1305139	entire base of heart
C1305142	entire left margin of heart
C1305144	entire auricular appendage
C1305153	entire right branch of atrioventricular bundle
C1305159	entire anulus fibrosus of pulmonary artery
C1305163	entire anulus fibrosus of mitral orifice
C1305164	entire anterior leaflet of mitral valve
C1305165	entire posterior leaflet of mitral valve
C1305171	entire obtuse marginal branch of circumflex branch of left coronary artery
C1305176	entire great anterior radicular artery of adamkiewicz
C1305194	entire ureteropelvic junction
C1305222	entire blood vessel of retina
C1305225	entire ora serrata of retina
C1305242	entire l2 vertebra
C1305243	entire l3 vertebra
C1305244	entire first sacral vertebra
C1305253	entire pars flaccida of tympanic membrane
C1305255	entire mastoid cell
C1305276	entire middle finger
C1305286	entire autonomic nerve
C1305287	entire choroid
C1305299	entire ethmoidal artery (body structure)
C1305305	entire tooth root
C1305310	entire ureteral orifice
C1305312	entire lateral meniscus
C1305314	entire thoracic disc (body structure)
C1305316	entire medial meniscus
C1305324	entire retinal pigment epithelium
C1305327	entire gravid uterus
C1305328	entire triceps surae muscle
C1305329	entire paraganglia
C1305344	entire gastrocnemius
C1305356	entire soleus
C1305366	entire artery of extremity (body structure)
C1305367	entire submaxillary duct
C1305370	entire embryo
C1305376	entire epiphysis (body structure)
C1305377	entire thyroarytenoid muscle
C1305378	entire achilles tendon
C1305379	entire amnion
C1305380	entire atlantooccipital joint
C1305381	entire autonomic nervous system
